id,title,genres,authors,description,readers_count,avg_rating,genre_score
71319,"1001 день, или Новая Шахерезада","Литература 20 века,Русская классика","Илья Ильф,Евгений Петров","жанр: сатира
темы: любовь, власть, коррупция, социальное неравенство, обман
конфликт: борьба за власть, социальные противоречия
смысл: история о борьбе за власть и социальных противоречиях, рассказанная в сатирическом ключе.",19,4.5,898
7926,Сергей Есенин,"Литература 20 века,Русская классика",Максим Горький,"жанр: биография
темы: жизнь, творчество, литература
конфликт: нет информации
смысл: Книга представляет собой биографический очерк о жизни и творчестве Сергея Есенина.",11,2.0,898
80078,Святая ложь,"Литература 20 века,Русская классика",Александр Куприн,"жанр: повесть
темы: мораль, вина, прощение, внутренний конфликт, идентичность, психология личности
конфликт: столкновение с прошлым, поиск истины
смысл: Описание событий, связанных с раскрытием обмана и их последствиями. Осмысление роли прошлого в жизни человека.",11,5.0,898
154258,Святочный рассказ,"Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,"жанр: классическая проза
темы: Рождество, праздник, семья, традиция, общество
конфликт: противоречия между реальностью и идеалом
смысл: рассказ о событиях в канун Рождества.",15,5.0,898
84195,Сгущенное молоко,Русская классика,Варлам Шаламов,"жанр: повесть
темы: выживание, лагерь, свобода
конфликт: Заключение в лагерь, борьба за выживание.
смысл: Повесть о переживаниях в советском трудовом лагере.",10,5.0,898
93976,Себастиян Бах,"Литература 19 века,Русская классика",Владимир Одоевский,"жанр: повесть
темы: музыка, талант, судьба
конфликт: противоречия между реальностью и мечтой, столкновение таланта и обыденности
смысл: повесть о судьбе и жизненном пути талантливого музыканта.",13,5.0,898
78650,Севастополь в августе 1855 года,"Старинная литература,Русская классика",Лев Толстой,"жанр: классическая проза
темы: война, героизм, выживание, опасность, предательство, честь
конфликт: военные действия, противостояние сторон
смысл: Описание событий в Севастополе во время обороны города. Отображение хода военных действий и положения дел в армии.",16,4.7,898
261024,Севастополь в декабре месяце,"Старинная литература,Русская классика",Лев Толстой,"жанр: классическая проза
темы: война, смерть, страдание, героизм, долг, честь
конфликт: военные действия, человеческие потери
смысл: Описание военных событий и их влияние на людей.",14,5.0,898
54414,Севастопольские рассказы,"Литература 19 века,Русская классика",Лев Толстой,"жанр: классическая проза
темы: война, героизм, смерть, страдание, выживание
конфликт: Противоречия военного времени, столкновение жизни и смерти.
смысл: Описание военных событий и их влияние на людей. Передача атмосферы военного времени.",67,4.8,898
27971,Сашка Жегулев,Русская классика,Леонид Андреев,"жанр: повесть
темы: революция, насилие, конфликт, героизм, предательство, власть
конфликт: Противоречия между революционерами и властью, внутренние разногласия среди революционеров.
смысл: Повесть описывает события, связанные с революцией и её последствиями.",19,5.0,898
92206,Свадьба,"Зарубежная классика,Литература 19 века,Русская классика",Максим Горький,"жанр: повесть
темы: семья, любовь, выбор, общество, традиции
конфликт: противоречия на свадьбе
смысл: описание событий на свадьбе и реакции персонажей",13,5.0,898
