id,id_old,title,genres,authors,description,readers_count,avg_rating,genre_score,book_description
1,7926,Сергей Есенин,"Литература 20 века,Русская классика",Максим Горький,"жанр: биография
темы: жизнь, творчество, литература
конфликт: нет информации
смысл: Книга представляет собой биографический очерк о жизни и творчестве Сергея Есенина.",11,2.0,898,"Книга ""Сергей Есенин"" представляет собой биографический очерк, написанный Максимом Горьким. В ней рассказывается о жизни и творчестве Сергея Есенина, одного из известных поэтов русской литературы. Очерк дает возможность познакомиться с биографией и творческим путем Есенина. Книга является источником информации о жизни и творчестве этого поэта. Она предназначена для читателей, интересующихся литературой и биографиями известных писателей."
2,80078,Святая ложь,"Литература 20 века,Русская классика",Александр Куприн,"жанр: повесть
темы: мораль, вина, прощение, внутренний конфликт, идентичность, психология личности
конфликт: столкновение с прошлым, поиск истины
смысл: Описание событий, связанных с раскрытием обмана и их последствиями. Осмысление роли прошлого в жизни человека.",11,5.0,898,
3,154258,Святочный рассказ,"Литература 19 века,Русская классика",Михаил Салтыков-Щедрин,"жанр: классическая проза
темы: Рождество, праздник, семья, традиция, общество
конфликт: противоречия между реальностью и идеалом
смысл: рассказ о событиях в канун Рождества.",15,5.0,898,
4,84195,Сгущенное молоко,Русская классика,Варлам Шаламов,"жанр: повесть
темы: выживание, лагерь, свобода
конфликт: Заключение в лагерь, борьба за выживание.
смысл: Повесть о переживаниях в советском трудовом лагере.",10,5.0,898,
5,93976,Себастиян Бах,"Литература 19 века,Русская классика",Владимир Одоевский,"жанр: повесть
темы: музыка, талант, судьба
конфликт: противоречия между реальностью и мечтой, столкновение таланта и обыденности
смысл: повесть о судьбе и жизненном пути талантливого музыканта.",13,5.0,898,
6,78650,Севастополь в августе 1855 года,"Старинная литература,Русская классика",Лев Толстой,"жанр: классическая проза
темы: война, героизм, выживание, опасность, предательство, честь
конфликт: военные действия, противостояние сторон
смысл: Описание событий в Севастополе во время обороны города. Отображение хода военных действий и положения дел в армии.",16,4.7,898,
7,261024,Севастополь в декабре месяце,"Старинная литература,Русская классика",Лев Толстой,"жанр: классическая проза
темы: война, смерть, страдание, героизм, долг, честь
конфликт: военные действия, человеческие потери
смысл: Описание военных событий и их влияние на людей.",14,5.0,898,
8,54414,Севастопольские рассказы,"Литература 19 века,Русская классика",Лев Толстой,"жанр: классическая проза
темы: война, героизм, смерть, страдание, выживание
конфликт: Противоречия военного времени, столкновение жизни и смерти.
смысл: Описание военных событий и их влияние на людей. Передача атмосферы военного времени.",67,4.8,898,
9,27971,Сашка Жегулев,Русская классика,Леонид Андреев,"жанр: повесть
темы: революция, насилие, конфликт, героизм, предательство, власть
конфликт: Противоречия между революционерами и властью, внутренние разногласия среди революционеров.
смысл: Повесть описывает события, связанные с революцией и её последствиями.",19,5.0,898,
10,92206,Свадьба,"Зарубежная классика,Литература 19 века,Русская классика",Максим Горький,"жанр: повесть
темы: семья, любовь, выбор, общество, традиции
конфликт: противоречия на свадьбе
смысл: описание событий на свадьбе и реакции персонажей",13,5.0,898,
11,223269,Авторская исповедь,"Литература 19 века,Русская классика",Николай Гоголь,"жанр: эссе
темы: семья, вина, прощение, смысл жизни, идентичность
конфликт: внутренний конфликт, противоречие между идеалами и реальностью
смысл: Авторская исповедь представляет собой размышления о жизни и творчестве, исследование внутреннего мира и поиск смысла существования.",10,3.7,898,
12,4432,"Ада, или Радости страсти","Зарубежная классика,Литература 20 века,Русская классика",Владимир Набоков,"жанр: роман
темы: любовь, семья, идентичность, эмоции, отношения
конфликт: внутренний конфликт, семейные противоречия
смысл: исследование сложностей человеческих отношений и эмоций, изучение семейной динамики и личностного роста.",23,4.5,898,
13,61431,Адское пламя,"Литература 20 века,Русская классика",Иван Ефремов,"жанр: научная фантастика
темы: космос, эволюция, биология
конфликт: противоречие между прогрессом и опасностью
смысл: исследование последствий научных открытий, борьба за выживание в космосе",18,4.8,898,
14,95821,Азартные игры в старину,"Литература 19 века,Русская классика",Михаил Пыляев,"жанр: исторический роман
темы: азарт, игры, история, общество, традиции
конфликт: социальное неравенство, конфликт интересов
смысл: Описание жизни и азартных игр в прошлом, социальные аспекты игровой культуры.",13,5.0,898,
15,252708,Акварель,"Зарубежная классика,Литература 20 века,Русская классика",Александр Грин,"жанр: роман
темы: любовь, семья, одиночество
конфликт: внутренний конфликт, социальные нормы
смысл: История о поиске смысла жизни, исследование человеческих отношений и эмоций.",10,4.5,898,
16,161904,Алатырь,"Литература 20 века,Русская классика",Евгений Замятин,"жанр: фэнтези
темы: любовь, власть, идентичность, свобода, конфликт
конфликт: борьба за власть, внутренний конфликт
смысл: исследование человеческой природы, поиск смысла жизни",17,3.0,898,
18,39213,Алмазная карта,"Литература 20 века,Русская классика",Варлам Шаламов,"жанр: рассказ
темы: одиночество, страдание, выживание, опасность, конфликт
конфликт: борьба за выживание, внутренний конфликт
смысл: история о выживании и внутренней борьбе, рассказывающая о человеческой способности к сопротивлению и стойкости в экстремальных условиях.",15,4.5,898,
